AG,"&SRS=EPSG:21781&BBOX=594778.6223239867,220758.41132060325,703231.3310807823,274984.76569900103&WIDTH=600&HEIGHT=300"
AI,"&SRS=EPSG:21781&BBOX=729194.3035929516,233141.11667706122,777011.9405233393,257049.935142255&WIDTH=600&HEIGHT=300"
AR,"&SRS=EPSG:21781&BBOX=723537.1343059493,234381.80995281806,774561.1308066149,259893.8082031508&WIDTH=600&HEIGHT=300"
BE,"&SRS=EPSG:21781&BBOX=503453.68666970206,130728.02501316443,730649.075597266,244325.7194769464&WIDTH=600&HEIGHT=300"
BL,"&SRS=EPSG:21781&BBOX=590180.7170064908,243009.12411469145,640792.64850681,268315.08986485103&WIDTH=600&HEIGHT=300"
BS,"&SRS=EPSG:21781&BBOX=604876.3759685667,263179.36446253135,623076.3129189085,272279.33293770225&WIDTH=600&HEIGHT=300"
FL,"&SRS=EPSG:21781&BBOX=536784.0960651212,90740.5223921908,929828.1059989552,287262.52735910786&WIDTH=600&HEIGHT=300"
FR,"&SRS=EPSG:21781&BBOX=507323.2923793532,142953.61586136892,634277.8702901897,206430.90481678725&WIDTH=600&HEIGHT=300"
GE,"&SRS=EPSG:21781&BBOX=472567.59628271125,109190.56486368137,525947.3393430568,135880.43639385415&WIDTH=600&HEIGHT=300"
GL,"&SRS=EPSG:21781&BBOX=681069.6370733166,183809.32454420903,766191.03198855,226370.02200182565&WIDTH=600&HEIGHT=300"
GR,"&SRS=EPSG:21781&BBOX=660797.3100908089,113798.11545489641,867588.7199895012,217193.8204042426&WIDTH=600&HEIGHT=300"
JU,"&SRS=EPSG:21781&BBOX=542309.5487104348,222166.53041953058,621369.5131283274,261696.5126284769&WIDTH=600&HEIGHT=300"
LU,"&SRS=EPSG:21781&BBOX=598837.7766970309,180500.51687836027,713684.6921491047,237923.97460439723&WIDTH=600&HEIGHT=300"
NE,"&SRS=EPSG:21781&BBOX=512389.2222388346,188444.13035432197,584209.9013036909,224354.46988675013&WIDTH=600&HEIGHT=300"
NW,"&SRS=EPSG:21781&BBOX=645108.7664863373,180332.7184123026,701006.2899186419,208281.48012845486&WIDTH=600&HEIGHT=300"
OW,"&SRS=EPSG:21781&BBOX=638153.7956238519,178175.06981922497,689419.459666386,203807.90184049204&WIDTH=600&HEIGHT=300"
SG,"&SRS=EPSG:21781&BBOX=659782.1250730688,192200.5551998532,813290.4097118571,268954.6975192474&WIDTH=600&HEIGHT=300"
SH,"&SRS=EPSG:21781&BBOX=661296.944833539,267296.355208135,719327.0005652832,296311.3830740071&WIDTH=600&HEIGHT=300"
SO,"&SRS=EPSG:21781&BBOX=571053.2861422894,213707.93549485828,666629.3351082487,261495.95997783792&WIDTH=600&HEIGHT=300"
SZ,"&SRS=EPSG:21781&BBOX=657463.3137682748,193122.9632368487,733946.6865853234,231364.64964537308&WIDTH=600&HEIGHT=300"
TG,"&SRS=EPSG:21781&BBOX=687408.9607999608,247957.88137305467,761094.6168371409,284800.7093916447&WIDTH=600&HEIGHT=300"
TI,"&SRS=EPSG:21781&BBOX=611899.1280505301,74474.58721406308,795003.5382556156,166026.7923166058&WIDTH=600&HEIGHT=300"
UR,"&SRS=EPSG:21781&BBOX=642417.7164543351,153372.8565282529,747318.6348470635,205823.31572461713&WIDTH=600&HEIGHT=300"
VD,"&SRS=EPSG:21781&BBOX=449586.7798721116,115085.34685093386,629218.1303409421,204901.02208534908&WIDTH=600&HEIGHT=300"
VS,"&SRS=EPSG:21781&BBOX=525695.890062605,78727.76292452516,703252.2750772169,167505.95543183113&WIDTH=600&HEIGHT=300"
ZG,"&SRS=EPSG:21781&BBOX=665211.7056300949,214888.4748385804,703073.8459360189,233819.54499154238&WIDTH=600&HEIGHT=300"
ZH,"&SRS=EPSG:21781&BBOX=633076.6200179744,223570.84348866311,753522.8039386976,283793.9354490246&WIDTH=600&HEIGHT=300"
